date/yyyy-mm-dd,time_start/hh:mm:ss,time_end/hh:mm:ss,CH4 ground truth count,CO2 ground truth count,CH4 Pressure outlet (bar(a)),CH4 Pressure outlet (bar(a)) STD,CH4 Pressure outlet (bar(a)) STUNC,CH4 Temperature (°C),CH4 Temperature (°C) STD,CH4 Temperature (°C) STUNC,CO2 Pressure outlet (bar(a)),CO2 Pressure outlet (bar(a)) STD,CO2 Pressure outlet (bar(a)) STUNC,CO2 Temperature (°C),CO2 Temperature (°C) STD,CO2 Temperature (°C) STUNC,CH4 Flow (ls/min),CH4 Flow (ls/min) STD,CH4 Flow (ls/min) STUNC,CO2 Flow (ls/min),CO2 Flow (ls/min) STD,CO2 Flow (ls/min) STUNC,Total vol. flow (ls/min),Total vol. flow (ls/min) COMB-UNC,CH4 Vol. fraction,CH4 Vol. fraction COMB-UNC,CO2 Vol. fraction,CO2 Vol. fraction COMB-UNC,AHT count,AHT Temp (deg C),AHT Temp (deg C) STD,AHT Temp (deg C) STUNC,AHT Humidity (%rH),AHT Humidity (%rH) STD,AHT Humidity (%rH) STUNC,YF201 count,YF201 pulses,YF201 pulses STD,YF201 pulses STUNC
2024-08-23,13:22:40,13:23:00,318,318,1.0054465003144655,2.3394809878228825e-05,1.3119157929988215e-06,23.319266632075472,0.005842566635430079,0.0003276348677576433,1.004954868553459,1.723143682156939e-05,9.662909944532436e-07,25.213940437106917,0.010144061247539353,0.0005688507077024273,0.002845903010532783,0.00019442824564018985,1.0902994612398638e-05,1.7225794676042452,2.138382347399117e-05,1.199145275223405e-06,1.725425370614778,1.0968739257958699e-05,0.001649392120343503,0.0038311248072055875,0.9983506078796565,6.395123109016919e-06,10,22.864000000000004,0.00516397779494403,0.0016329931618557073,12.247,0.025841396591085548,0.008171767114754114,21,0.0,0.0,0.0
2024-08-23,13:25:40,13:26:10,464,463,1.0275853265086208,1.5918795277142835e-05,7.390115180900737e-07,23.447256161637934,0.005819916395693698,0.0002701828358151275,1.0277106239740819,3.2571909254516796e-05,1.513744996574158e-06,25.389677444924406,0.008401972818778925,0.0003904727910297425,0.002808203773782705,0.0001815506730868878,8.428278408785254e-06,3.039789816785799,4.742348087079594e-05,2.2039560631019145e-06,3.0425980205595815,8.71167603071185e-06,0.0009229624665522632,0.00300130721381394,0.9990770375334478,2.953607426545189e-06,15,22.886000000000003,0.009102589898327745,0.002350278605571948,11.641333333333334,0.020655911179772966,0.005333333333333353,31,59.903225806451616,0.7897188828807975,0.14183769847605293
2024-08-23,13:28:40,13:29:20,638,635,1.146690503448276,0.00010967090554660362,4.341912729379607e-06,23.411628760188087,0.004969365163285382,0.0001967390508163135,1.1499331222047244,0.00010766932169494168,4.2727266984634006e-06,25.3001041007874,0.004070003762147859,0.00016151317258825663,0.002856248976751293,0.0001827856224019918,7.236552089173121e-06,7.092793246626968,0.00020923582677451812,8.3032705069651e-06,7.09564949560372,1.101417210920332e-05,0.00040253524057536256,0.002533586359673889,0.9995974647594246,1.94419908629998e-06,20,22.922500000000003,0.00966545666958267,0.0021612618146765574,11.315999999999999,0.01635140425323265,0.003656285143780739,41,133.97560975609755,1.6505727017924534,0.25777614810956784
2024-08-23,13:32:00,13:33:00,961,962,1.004664450780437,6.902639049905402e-05,2.2266577580340004e-06,23.78418872528616,0.055196666573258446,0.0017805376313954338,1.0035732983367982,2.9772501915017302e-05,9.599039876838843e-07,25.71181529002079,0.04262388650402117,0.0013742492566658534,0.516873340127833,1.647756241363559e-05,5.315342714075997e-07,1.2058634544590177,2.044996938983248e-05,6.593334756126815e-07,1.7227367945868508,8.469057289594316e-07,0.30003035968810915,1.1398285668368748e-06,0.6999696403118908,7.352794903862038e-07,30,22.95833333333334,0.007914775938768949,0.0014450337730876268,10.970333333333333,0.018659070704090206,0.0034066646422380026,61,32.19672131147541,0.9455099529027985,0.12106014431517374
2024-08-23,13:35:30,13:36:30,954,954,1.0236641921383647,8.010610821913553e-05,2.593531013390246e-06,24.361670362683437,0.03984941480868242,0.0012901724408961146,1.022382710062893,2.0969972621042078e-05,6.789279313612358e-07,26.139590634171906,0.03304828794287561,0.0010699778284675703,0.912003017488522,2.1788403469791257e-05,7.054256084514735e-07,2.127877509079088,3.1881097689099555e-05,1.0321886487284415e-06,3.03988052656761,1.2502154596800416e-06,0.3000127832386501,8.760316712855834e-07,0.6999872167613499,6.359604196815395e-07,30,22.981,0.009595257449242205,0.0017518463166731459,10.699666666666666,0.019561280074701932,0.0035713847835301964,61,58.16393442622951,0.9161573349021886,0.1173019266885135
2024-08-23,13:38:30,13:39:50,1271,1268,1.1252283631785998,6.913267762468008e-05,1.93914642044778e-06,24.584611753737217,0.013819233031805314,0.00038762445181773767,1.1250603298895898,4.09692247597498e-05,1.1505304555688903e-06,26.240773578864353,0.00889712993510703,0.0002498563011021646,2.127856890269965,3.44058414805256e-05,9.650713185400608e-07,4.964953739621629,0.00011346036001870738,3.1862843504322855e-06,7.092810629891594,3.3292297324874324e-06,0.3000019317169457,6.527007510940081e-07,0.6999980682830542,7.950899416030209e-07,39,23.033846153846145,0.011611107344485932,0.00185926518270522,10.534871794871794,0.017602600715713117,0.0028186719547752467,81,122.85185185185185,1.3144496102086907,0.14604995668985452
2024-08-23,13:41:30,13:43:10,1579,1579,1.0049651212792907,9.398236406917126e-05,2.365131543328035e-06,24.936061904369858,0.07808469628740107,0.0019650556790058653,1.002731767511083,5.243263227537434e-05,1.319503650737448e-06,26.66995798416719,0.08303247725126604,0.002089570027447901,0.861347447716401,2.301081857572129e-05,5.790832502487508e-07,0.8614008037993889,1.8426167174614276e-05,4.637073097591014e-07,1.72274825151579,7.418637879305612e-07,0.49998451425420376,7.983901577793009e-07,0.5000154857457962,6.893667458569176e-07,49,23.048571428571424,0.01080123449734618,0.0015430334996208827,10.296326530612246,0.012697420596165538,0.0018139172280236483,101,28.11881188118812,0.6824533495100061,0.06790664633458322
2024-08-23,13:45:00,13:46:20,1259,1262,1.0214761684670373,5.9104708883431456e-05,1.665747681767287e-06,25.31714600158856,0.03357841305992901,0.0009463402285309388,1.0192578033280506,3.352626470510657e-05,9.437468002808342e-07,27.05158055150555,0.031775373505937426,0.0008944601296245572,1.5199183683072082,2.891183457628761e-05,8.148220730783565e-07,1.5199471712603605,2.519518840916691e-05,7.092313639104059e-07,3.0398655395675687,1.0802518865199565e-06,0.4999952624626357,6.431802414239179e-07,0.5000047375373643,5.8652558795047e-07,40,23.07125,0.008529736822224273,0.0013486698100017719,10.115,0.009058216273156951,0.001432229748078895,81,54.22222222222222,0.894427190999915,0.09938079899999055
2024-08-23,13:48:00,13:49:40,1581,1579,1.1099157235294117,6.80747881949614e-05,1.7120654525217318e-06,25.373502471220746,0.00871945943488889,0.00021929242321524925,1.1082983088030398,4.4409187522391774e-05,1.1175880843503105e-06,27.071570015199494,0.010519713782136387,0.00026473591231011503,3.5464047526346296,4.096953161863493e-05,1.030374409529977e-06,3.5464098246773745,6.169730767555641e-05,1.5526556494628522e-06,7.092814577312004,1.8634406321702765e-06,0.4999996424520415,3.917101315375648e-07,0.5000003575479586,5.105889671440607e-07,49,23.132653061224495,0.017768829238781838,0.002538404176968834,9.981428571428571,0.020207259421636665,0.002886751345948095,101,114.15841584158416,1.2307125843780642,0.12246047919156232
2024-08-23,13:52:00,13:53:00,964,963,1.0048134873443983,3.6737205522140116e-05,1.1832257186267875e-06,25.662521807053945,0.0311682335721886,0.0010038612094367062,1.001975838213915,2.4091066263862446e-05,7.763237605764272e-07,27.429423761163033,0.035578646464595486,0.0011465058589393317,1.2058256025298757,2.683017146388039e-05,8.641416367964516e-07,0.5169743148772585,1.8613808315277433e-05,5.998215899493428e-07,1.7227999174071342,1.051915732468437e-06,0.6999220224857449,9.414804507124804e-07,0.3000779775142551,1.3111078049962318e-06,30,23.15166666666666,0.009498941259818245,0.0017342614668063314,9.701666666666664,0.015992095748737674,0.002919743861122031,61,22.262295081967213,1.1958489222342192,0.15311276487398578
2024-08-23,13:55:30,13:56:15,715,717,1.0188704393006993,3.2464195007633007e-05,1.2140920562173623e-06,25.905741520279722,0.014024413701574341,0.0005244833350768119,1.016005729009763,2.15417801338863e-05,8.04492521188429e-07,27.69015942538354,0.01364933158877003,0.000509743629084448,2.1278563182112236,3.2764985711638886e-05,1.2253409907506753e-06,0.9120596023345607,2.0244486879331805e-05,7.560442167961864e-07,3.039915920545784,1.4398136689741508e-06,0.6999720958825696,7.456154371094878e-07,0.3000279041174304,9.547121982615546e-07,23,23.17521739130435,0.008979555170897416,0.0018723666849528508,9.530434782608696,0.013644266484686581,0.002845026231293006,46,48.52173913043478,0.8879221796427035,0.13091698307984018
2024-08-23,13:58:00,13:59:30,1391,1386,1.0919957293314162,3.410999413954712e-05,9.145723762197898e-07,25.82171402588066,0.01723000977371199,0.0004619787067850607,1.0894223474025975,2.425903227002517e-05,6.516161762739677e-07,27.647302999999997,0.01600655995386511,0.0004299484528624512,4.964949077981398,6.80513233072289e-05,1.8246224319879005e-06,2.127882097953409,3.310540220303897e-05,8.892364442835072e-07,7.092831175934807,2.0297754735820945e-06,0.6999953833423982,4.657807107903567e-07,0.30000461665760186,5.064910034938691e-07,44,23.235454545454544,0.01744820180706963,0.0026304153936568646,9.419772727272727,0.0195874469012663,0.0029529187260231757,91,104.26373626373626,1.0201869636402154,0.10694465246054129
2024-08-23,14:01:15,14:02:50,1439,1431,1.0029793512161225,7.664054084006801e-05,2.0203572194375722e-06,26.008679712300207,0.033585578333573694,0.0008853651724199066,0.9997162040670861,4.378992834620865e-05,1.157589070448156e-06,27.68983083508036,0.007880103915979212,0.00020831096353970236,1.7225648551571924,2.353508862086553e-05,6.204195023165826e-07,0.0,0.0,0.0,1.7225648551571924,6.204195023165826e-07,1.0,5.093600231712665e-07,0.0,0.0,47,23.244255319148937,0.008006703944077908,0.0011678978027290828,8.507659574468082,0.018558106860608332,0.002706978099439653,96,0.0,0.0,0.0
2024-08-23,14:04:10,14:06:00,1708,1699,1.0131845082552693,3.015673675782818e-05,7.29693389413147e-07,26.010398494730676,0.02006147433044349,0.0004854213941767486,1.0097676351383167,2.3831832947278553e-05,5.781769270153356e-07,27.606498128899354,0.03181857241106882,0.0007719408095610835,3.039777701353279,3.887836242599073e-05,9.407279136755316e-07,0.0,0.0,0.0,3.039777701353279,9.407279136755316e-07,1.0,4.3766035043635147e-07,0.0,0.0,54,23.25611111111111,0.00919734717016604,0.0012516004196743114,8.389259259259259,0.016351314280088874,0.0022251320338945446,111,37.846846846846844,0.7651286071124157,0.07262279352197218
2024-08-23,14:08:10,14:09:15,1024,1027,1.0637495806640627,5.189310048508633e-05,1.6216593901589478e-06,25.646202814453126,0.03208867413065068,0.0010027710665828338,1.060335970399221,4.4607277443401825e-05,1.3919399367954704e-06,27.28027241869523,0.03498288268698823,0.0010916172047942916,7.092766410395141,0.00011048321941473877,3.4526006067105866e-06,0.0,0.0,0.0,7.092766410395141,3.4526006067105866e-06,1.0,6.884076425118969e-07,0.0,0.0,32,23.335625,0.014797013648139873,0.0026157671729773995,8.251249999999999,0.013136995286643098,0.0023223146129002616,66,88.5,1.0265700920278917,0.126362043222504
2024-08-23,14:14:30,14:15:00,471,471,1.1362844271762207,6.11146462256472e-05,2.816014252493462e-06,25.611807335456472,0.0037838743133390847,0.00017435172506218553,1.1337034307855625,2.0862455517803508e-05,9.612912077283878e-07,27.347821133757964,0.007737761664440653,0.00035653723739168485,0.0027739067643902868,0.0001856512078631407,8.554356109744365e-06,1.7225852104988855,2.424831276954482e-05,1.117303274665799e-06,1.7253591172632758,8.627014261023317e-06,0.0016077271894503868,0.003083869819904951,0.9983922728105495,5.04202096165942e-06,15,23.516,0.009856107606091567,0.0025448360411213927,49.307333333333325,0.07372406727275743,0.019035472317470985,31,0.0,0.0,0.0
2024-08-23,14:18:00,14:18:45,701,704,1.14760650042796,5.457816059654025e-05,2.0613886757749098e-06,25.518122165477887,0.008160774165902421,0.0003082281862795882,1.1457663086647727,6.236544477101183e-05,2.3504861385122543e-06,27.33489073295455,0.0033945050839553946,0.00012793522400493068,0.002625089101438481,0.0001920692594690279,7.2543558102070826e-06,3.0397865976112928,4.695611994199125e-05,1.7697253574830654e-06,3.042411686712731,7.4671015837474595e-06,0.0008628316519106068,0.0027634714064731086,0.9991371683480894,2.5224410861018442e-06,23,23.436521739130438,0.007751067757631695,0.0016162093517992574,51.003043478260864,0.0265321044994549,0.005532326223404916,46,38.34782608695652,0.971079383512041,0.1431778438867069
2024-08-23,14:24:30,14:24:50,313,313,1.2592619303514379,4.0974961931949017e-05,2.3160417823904865e-06,24.964457654952074,0.0075106485752955724,0.00042452695727028625,1.2604326680511182,2.686120191475082e-05,1.5182848995225676e-06,26.73488488178914,0.00623674199767763,0.0003525215002420341,0.0025024653615421722,0.00018418026217405624,1.041048392906849e-05,7.092782912496565,0.00020786147656294093,1.1749025306446528e-05,7.095285377858107,1.569769955404021e-05,0.0003526941100003514,0.004160091708464337,0.9996473058899997,2.763816751908927e-06,10,23.395,0.010801234497346478,0.00341565025531988,51.403999999999996,0.041419265512024364,0.013097921802925724,21,118.0,1.61245154965971,0.3518657752744984
2024-08-23,14:27:00,14:28:30,1326,1312,1.1226739976621418,0.00014506390347927337,3.98370891525108e-06,25.265829570889895,0.07615574755792448,0.002091370239030287,1.1200668514481709,8.604713996051575e-05,2.375579245053916e-06,27.143994887957316,0.06102880564238608,0.001684876035403475,0.5168768713416458,1.6802893353234893e-05,4.614368871085769e-07,1.2058662141822027,2.2629766666197768e-05,6.247599169164779e-07,1.7227430855238486,7.766910290263033e-07,0.30003131383021914,1.0001235901323925e-06,0.6999686861697809,6.867968036127356e-07,44,23.33386363636364,0.008412589981110781,0.0012682456582930673,46.06954545454544,0.01764699664209993,0.002660384842659415,91,34.68131868131868,1.1535367920647928,0.12092351277223667
2024-08-23,14:30:45,14:32:05,1196,1194,1.1508499306856188,0.00013241743329031483,3.828948946221629e-06,25.80717177173913,0.046421059229771494,0.0013422995855133055,1.1479697292294806,8.769404411314622e-05,2.5378616034679963e-06,27.51300322278057,0.036367541033736635,0.001052474964924453,0.9120060190802884,2.2185709355560072e-05,6.415163498291751e-07,2.127874574317022,4.051900500030739e-05,1.1726181411856267e-06,3.0398805933973105,1.3366287936954608e-06,0.3000137640475702,8.295318959046028e-07,0.6999862359524298,7.049947733418274e-07,40,23.29675,0.010951524890895101,0.0017315881253627762,51.7395,0.02252633786117685,0.003561726749190235,81,62.58024691358025,1.0707964037442441,0.1189773781938049
2024-08-23,14:35:25,14:35:50,396,397,1.2387626537878789,4.0490196479296354e-05,2.0347089304484126e-06,25.899318371212125,0.0036058047675026636,0.0001811985072891064,1.2371069617128463,4.252150371126406e-05,2.1340930965525513e-06,27.453613629722916,0.0027282869910403586,0.00013692879895616176,2.1278503829359847,3.7107431686398646e-05,1.8647186035989278e-06,4.964945406395591,0.00014442121737803727,7.24829312469821e-06,7.092795789331576,7.484312172281116e-06,0.30000164196698426,1.3716470330907157e-06,0.6999983580330158,1.8013148648562573e-06,13,23.38615384615384,0.00869718492622891,0.0024121650925931406,50.33923076923077,0.05663649272061534,0.015708136812817047,26,115.0,1.4966629547095767,0.29351975428213717
